,CO_MUNICIPIO,NO_MUNICIPIO,AFD_INF_12,AFD_FUN_12,AFD_MED_12,ATU_INF,ATU_AF,ATU_EM,HAD_INF,HAD_AI,HAD_EM,MEDIA_INSE,IED_1,IED_2,IED_3,IED_4,IED_56,IRD_0A2,IRD_2A3,IRD_3A4,IRD_4A5,TDI_FUN,TDI_MED,REGIAO
149,3513504.0,Cubatão,70.10000000000001,82.0,65.3,15.1,23.8,30.2,6.0,5.8,5.4,5.14,16.5,18.4,21.5,31.3,12.3,1.3,32.5,60.0,6.2,8.7,15.3,SP - Capital
150,3513603.0,Cunha,93.8,57.6,63.7,11.7,16.0,23.1,4.0,6.0,7.1,4.91,29.5,16.3,33.5,19.2,1.5,28.2,28.2,25.6,18.0,5.7,12.2,SP - Capital
151,3513702.0,Descalvado,67.5,72.89999999999999,64.60000000000001,18.9,22.6,29.2,7.6,5.4,6.8,5.41,25.4,15.0,21.5,34.3,3.8,9.4,50.0,37.5,3.1,5.4,10.3,SP - Capital
152,3513801.0,Diadema,90.2,81.8,65.7,20.4,27.4,31.3,6.0,5.9,5.1,5.19,8.2,20.8,28.1,33.9,9.0,9.7,43.2,43.2,3.9,2.9,7.8,SP - Capital
153,3513850.0,Dirce Reis,75.0,84.3,42.9,14.3,19.0,14.3,5.6,8.2,9.0,5.06,13.1,21.7,60.9,4.3,0.0,0.0,50.0,0.0,50.0,7.6,9.3,SP - Capital
154,3513900.0,Divinolândia,58.3,74.6,50.0,15.4,17.8,30.7,5.5,5.0,5.3,5.33,25.3,6.7,17.3,42.7,8.0,37.5,25.0,37.5,0.0,2.2,5.1,SP - Capital
155,3514007.0,Dobrada,57.4,80.5,46.8,13.3,26.4,26.3,5.1,5.4,5.5,5.1,16.7,15.0,15.0,38.3,15.0,0.0,14.3,57.1,28.6,3.0,5.2,SP - Capital
156,3514106.0,Dois Córregos,39.8,81.4,62.9,15.4,23.0,30.1,6.9,5.1,5.0,5.25,22.8,14.7,24.9,25.4,12.2,0.0,26.7,60.0,13.3,2.4,6.5,SP - Capital
157,3514205.0,Dolcinópolis,25.0,83.9,57.1,22.8,19.3,18.0,8.1,6.7,9.0,5.21,38.5,3.8,15.4,42.3,0.0,0.0,0.0,100.0,0.0,7.4,20.4,SP - Capital
158,3514304.0,Dourado,65.1,75.6,67.2,9.7,18.2,31.7,4.5,4.5,9.0,5.45,34.0,13.2,26.4,22.6,3.8,0.0,14.3,28.6,57.1,3.5,2.7,SP - Capital
159,3514403.0,Dracena,76.1,79.3,64.9,16.2,23.1,26.8,8.1,6.5,6.7,5.51,20.7,9.3,31.9,31.1,7.0,9.1,21.2,48.5,21.2,2.5,4.4,SP - Capital
160,3514502.0,Duartina,93.1,73.6,58.6,12.9,20.9,22.2,6.0,5.9,5.5,5.28,20.4,16.5,16.5,34.0,12.6,0.0,9.1,27.3,63.6,3.0,3.5,SP - Capital
